date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after
11/30/2021,Microsoft Corp,MSFT,GLOBAL EQUITIES,TRIP CHOWDHRY,,OVERWEIGHT                   ,,375
12/1/2021,Apple Inc,AAPL,UBS,DAVID VOGT,BUY,BUY,,175
12/2/2021,Amazon.com Inc,AMZN,,LLOYD WALMSLEY,Buy                          ,Buy                          ,4700,4700
12/2/2021,Amazon.com Inc,AMZN,,MICHAEL LASSER,Buy                          ,Buy                          ,4700,4700
12/2/2021,Alphabet Cl A,GOOGL,UBS,LLOYD WALMSLEY,,BUY                          ,,196.25
12/2/2021,Meta Platforms Inc,META,UBS,LLOYD WALMSLEY,,BUY                          ,,425
12/2/2021,Nvidia Corp,NVDA,TIGRESS PARTNERS,IVAN FEINSETH,                             ,BUY                          ,23,40
12/3/2021,Alphabet Cl A,GOOGL,TIGRESS PARTNERS,IVAN FEINSETH,                             ,STRONG BUY                   ,159.25,177
12/6/2021,Apple Inc,AAPL,KEYBANK,BRANDON NISPEL,BUY,BUY,,191
12/6/2021,Meta Platforms Inc,META,HSBC,NICOLAS COTE-COLISSON,HOLD,REDUCE,,300
12/6/2021,Tesla Inc,TSLA,RBC,JOSEPH SPAK,,SECTOR PERFORM               ,,316.67
12/7/2021,Intel Corp,INTC,NORTHLAND CAPITAL MARKETS,GUS RICHARD,,MARKET PERFORM               ,,49
12/7/2021,Tesla Inc,TSLA,UBS,PATRICK HUMMEL,NEUTRAL,NEUTRAL,241.67,333.33
12/8/2021,Intel Corp,INTC,BAML,VIVEK ARYA,                             ,UNDERPERFORM                 ,45,50
12/9/2021,Apple Inc,AAPL,RAYMOND JAMES,CHRIS CASO,,OUTPERFORM                   ,,185
12/9/2021,Apple Inc,AAPL,WEDBUSH,DANIEL IVES,,OUTPERFORM                   ,,200
12/10/2021,Apple Inc,AAPL,KEYBANK,BRANDON NISPEL,Overweight                   ,Overweight                   ,200,200
12/13/2021,Apple Inc,AAPL,WEDBUSH,DANIEL IVES,,OUTPERFORM                   ,,200
12/13/2021,Amazon.com Inc,AMZN,TD COWEN,JOHN BLACKLEDGE,,OUTPERFORM                   ,,225
12/14/2021,Apple Inc,AAPL,BAML,WAMSI MOHAN,BUY,NEUTRAL,160,210
12/14/2021,Microsoft Corp,MSFT,MORGAN STANLEY,KEITH WEISS,,OVERWEIGHT                   ,,364
12/14/2021,Tesla Inc,TSLA,DAIWA,JAIRAM NATHAN,                             ,NEUTRAL                      ,286.67,350
12/15/2021,Apple Inc,AAPL,EVERCORE,AMIT DARYANANI,Outperform                   ,Outperform                   ,200,200
12/20/2021,Meta Platforms Inc,META,LOOP CAPITAL,ALAN GOULD,,BUY                          ,,380
12/21/2021,Nvidia Corp,NVDA,UBS,TIMOTHY ARCURI,HOLD,HOLD,,34.65
12/22/2021,Apple Inc,AAPL,MORGAN STANLEY,KATY HUBERTY,,OVERWEIGHT                   ,,200
12/22/2021,Tesla Inc,TSLA,RBC,JOSEPH SPAK,,SECTOR PERFORM               ,,316.67
12/23/2021,Tesla Inc,TSLA,CREDIT SUISSE,DAN LEVY,,NEUTRAL                      ,,276.67
