date,ticker,daily_rating
2021-11-30,MSFT,1.0
2021-12-01,AAPL,1.0
2021-12-02,AMZN,1.0
2021-12-02,GOOGL,1.0
2021-12-02,META,1.0
2021-12-02,NVDA,1.0
2021-12-03,GOOGL,1.0
2021-12-06,AAPL,1.0
2021-12-06,META,-1.0
2021-12-08,INTC,-1.0
2021-12-09,AAPL,1.0
2021-12-10,AAPL,1.0
2021-12-13,AAPL,1.0
2021-12-13,AMZN,1.0
2021-12-14,MSFT,1.0
2021-12-15,AAPL,1.0
2021-12-20,META,1.0
2021-12-22,AAPL,1.0
2021-12-27,AMZN,1.0
2021-12-30,TSLA,-1.0
2021-12-31,TSLA,1.0
2022-01-03,TSLA,1.0
2022-01-04,AAPL,1.0
2022-01-04,AMZN,1.0
2022-01-04,TSLA,1.0
2022-01-05,INTC,1.0
2022-01-05,NVDA,1.0
2022-01-06,META,1.0
2022-01-06,MSFT,1.0
2022-01-06,NVDA,1.0
2022-01-07,NVDA,1.0
2022-01-10,AAPL,1.0
2022-01-10,AMZN,-1.0
2022-01-10,NVDA,1.0
2022-01-10,TSLA,1.0
2022-01-12,MSFT,1.0
2022-01-13,AAPL,1.0
2022-01-13,INTC,-1.0
2022-01-13,MSFT,1.0
2022-01-14,AAPL,1.0
2022-01-18,AAPL,1.0
2022-01-18,AMZN,1.0
2022-01-18,META,1.0
2022-01-18,MSFT,1.0
2022-01-18,TSLA,1.0
2022-01-19,GOOGL,1.0
2022-01-19,MSFT,1.0
2022-01-19,TSLA,1.0
2022-01-20,META,1.0
2022-01-20,MSFT,1.0
2022-01-21,AAPL,1.0
2022-01-24,AAPL,1.0
2022-01-24,GOOGL,1.0
2022-01-25,AAPL,1.0
2022-01-25,TSLA,-1.0
2022-01-26,META,1.0
2022-01-26,MSFT,1.0
2022-01-27,GOOGL,1.0
2022-01-27,INTC,1.0
2022-01-27,MSFT,1.0
2022-01-27,TSLA,1.0
2022-01-28,AAPL,1.0
2022-01-28,AMZN,1.0
2022-01-28,GOOGL,1.0
2022-01-28,TSLA,1.0
2022-01-31,AMZN,1.0
2022-01-31,META,1.0
2022-02-01,META,1.0
2022-02-02,GOOGL,1.0
2022-02-03,META,1.0
2022-02-04,AMZN,1.0
2022-02-04,META,1.0
2022-02-04,MSFT,1.0
2022-02-07,MSFT,1.0
2022-02-08,MSFT,1.0
2022-02-08,NVDA,1.0
2022-02-09,AAPL,1.0
2022-02-09,AMZN,1.0
2022-02-09,META,1.0
2022-02-09,TSLA,1.0
2022-02-10,AMZN,1.0
2022-02-14,TSLA,1.0
2022-02-15,AAPL,1.0
2022-02-15,NVDA,1.0
2022-02-16,META,1.0
2022-02-17,AAPL,1.0
2022-02-17,NVDA,1.0
2022-02-18,AMZN,1.0
2022-02-18,INTC,-1.0
2022-02-18,TSLA,1.0
2022-02-22,INTC,1.0
2022-02-24,INTC,1.0
2022-02-28,AAPL,1.0
2022-02-28,MSFT,1.0
2022-03-02,META,1.0
2022-03-03,INTC,-1.0
2022-03-04,TSLA,1.0
2022-03-07,AAPL,1.0
2022-03-07,TSLA,1.0
2022-03-09,AAPL,1.0
2022-03-09,TSLA,1.0
2022-03-10,AAPL,1.0
2022-03-10,AMZN,1.0
2022-03-10,META,1.0
2022-03-11,AMZN,1.0
2022-03-14,AAPL,1.0
2022-03-16,MSFT,1.0
2022-03-16,NVDA,1.0
2022-03-18,AAPL,1.0
2022-03-18,GOOGL,1.0
2022-03-22,TSLA,1.0
2022-03-23,AAPL,1.0
2022-03-23,NVDA,1.0
2022-03-24,AMZN,1.0
2022-03-25,AMZN,1.0
2022-03-25,META,1.0
2022-03-25,TSLA,1.0
2022-03-28,AAPL,1.0
2022-03-29,NVDA,1.0
2022-03-29,TSLA,1.0
2022-03-30,AAPL,1.0
2022-03-30,AMZN,-1.0
2022-03-30,TSLA,1.0
2022-03-31,META,1.0
2022-04-01,MSFT,1.0
2022-04-04,AAPL,1.0
2022-04-04,TSLA,1.0
2022-04-05,AAPL,1.0
2022-04-05,AMZN,1.0
2022-04-05,GOOGL,1.0
2022-04-05,META,1.0
2022-04-05,MSFT,1.0
2022-04-06,AAPL,1.0
2022-04-07,AAPL,1.0
2022-04-08,NVDA,1.0
2022-04-08,TSLA,1.0
2022-04-12,MSFT,1.0
2022-04-12,NVDA,1.0
2022-04-14,AAPL,1.0
2022-04-14,GOOGL,1.0
2022-04-14,META,1.0
2022-04-14,TSLA,1.0
2022-04-18,TSLA,1.0
2022-04-19,AMZN,1.0
2022-04-19,GOOGL,1.0
2022-04-19,MSFT,1.0
2022-04-20,AAPL,1.0
2022-04-20,AMZN,1.0
2022-04-20,GOOGL,1.0
2022-04-20,META,1.0
2022-04-20,NVDA,1.0
2022-04-20,TSLA,1.0
2022-04-21,AAPL,1.0
2022-04-21,AMZN,1.0
2022-04-21,GOOGL,1.0
2022-04-21,META,1.0
2022-04-21,TSLA,1.0
2022-04-22,AAPL,1.0
2022-04-22,AMZN,1.0
2022-04-22,MSFT,1.0
2022-04-22,TSLA,1.0
2022-04-25,AAPL,1.0
2022-04-25,MSFT,1.0
2022-04-25,NVDA,1.0
2022-04-26,GOOGL,1.0
2022-04-26,META,1.0
2022-04-27,GOOGL,1.0
2022-04-27,MSFT,1.0
2022-04-28,AMZN,1.0
2022-04-28,META,1.0
2022-04-29,AAPL,1.0
2022-04-29,AMZN,1.0
2022-04-29,INTC,1.0
2022-05-02,AAPL,1.0
2022-05-02,AMZN,1.0
2022-05-03,NVDA,1.0
2022-05-09,TSLA,1.0
2022-05-16,META,1.0
2022-05-17,NVDA,1.0
2022-05-18,META,1.0
2022-05-18,TSLA,-1.0
2022-05-19,MSFT,1.0
2022-05-20,AAPL,1.0
2022-05-20,AMZN,1.0
2022-05-20,NVDA,1.0
2022-05-23,AAPL,1.0
2022-05-23,MSFT,1.0
2022-05-23,NVDA,1.0
2022-05-24,AAPL,1.0
2022-05-24,GOOGL,1.0
2022-05-24,META,1.0
2022-05-24,TSLA,1.0
2022-05-25,AAPL,1.0
2022-05-25,NVDA,1.0
2022-05-26,AAPL,1.0
2022-05-26,NVDA,1.0
2022-05-26,TSLA,1.0
2022-05-31,AMZN,1.0
2022-05-31,NVDA,1.0
2022-05-31,TSLA,1.0
2022-06-01,AMZN,1.0
2022-06-01,GOOGL,1.0
2022-06-01,META,1.0
2022-06-01,TSLA,1.0
2022-06-02,AAPL,1.0
2022-06-02,GOOGL,1.0
2022-06-02,META,1.0
2022-06-02,MSFT,1.0
2022-06-03,AAPL,1.0
2022-06-03,AMZN,1.0
2022-06-03,TSLA,1.0
2022-06-06,AMZN,1.0
2022-06-06,MSFT,1.0
2022-06-07,AAPL,1.0
2022-06-07,AMZN,1.0
2022-06-08,INTC,-1.0
2022-06-08,MSFT,1.0
2022-06-09,AAPL,1.0
