date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after,after
11/30/2021,Microsoft Corp,MSFT,GLOBAL EQUITIES,TRIP CHOWDHRY,,overweight,,375,1
12/1/2021,Apple Inc,AAPL,UBS,DAVID VOGT,BUY,buy,,175,1
12/2/2021,Amazon.com Inc,AMZN,,LLOYD WALMSLEY,Buy                          ,buy,4700,4700,1
12/2/2021,Amazon.com Inc,AMZN,,MICHAEL LASSER,Buy                          ,buy,4700,4700,1
12/2/2021,Alphabet Cl A,GOOGL,UBS,LLOYD WALMSLEY,,buy,,196.25,1
12/2/2021,Meta Platforms Inc,META,UBS,LLOYD WALMSLEY,,buy,,425,1
12/2/2021,Nvidia Corp,NVDA,TIGRESS PARTNERS,IVAN FEINSETH,                             ,buy,23,40,1
12/3/2021,Alphabet Cl A,GOOGL,TIGRESS PARTNERS,IVAN FEINSETH,                             ,strong buy,159.25,177,1
12/6/2021,Apple Inc,AAPL,KEYBANK,BRANDON NISPEL,BUY,buy,,191,1
12/6/2021,Meta Platforms Inc,META,HSBC,NICOLAS COTE-COLISSON,HOLD,reduce,,300,-1
12/8/2021,Intel Corp,INTC,BAML,VIVEK ARYA,                             ,underperform,45,50,-1
12/9/2021,Apple Inc,AAPL,RAYMOND JAMES,CHRIS CASO,,outperform,,185,1
12/9/2021,Apple Inc,AAPL,WEDBUSH,DANIEL IVES,,outperform,,200,1
12/10/2021,Apple Inc,AAPL,KEYBANK,BRANDON NISPEL,Overweight                   ,overweight,200,200,1
12/13/2021,Apple Inc,AAPL,WEDBUSH,DANIEL IVES,,outperform,,200,1
12/13/2021,Amazon.com Inc,AMZN,TD COWEN,JOHN BLACKLEDGE,,outperform,,225,1
12/14/2021,Microsoft Corp,MSFT,MORGAN STANLEY,KEITH WEISS,,overweight,,364,1
12/15/2021,Apple Inc,AAPL,EVERCORE,AMIT DARYANANI,Outperform                   ,outperform,200,200,1
12/20/2021,Meta Platforms Inc,META,LOOP CAPITAL,ALAN GOULD,,buy,,380,1
12/22/2021,Apple Inc,AAPL,MORGAN STANLEY,KATY HUBERTY,,overweight,,200,1
12/27/2021,Amazon.com Inc,AMZN,EVERCORE,MARK MAHANEY,,outperform,,215,1
12/30/2021,Tesla Inc,TSLA,CITI,ITAY MICHAELI,SELL,sell,79,87,-1
12/31/2021,Tesla Inc,TSLA,ARGUS,BILL SELESKY,Buy                          ,buy,437.67,437.67,1
12/31/2021,Tesla Inc,TSLA,,EMMANUEL ROSNER,Buy                          ,buy,400,400,1
1/3/2022,Tesla Inc,TSLA,JEFFERIES,PHILIPPE HOUCHOIS,,buy,,466.67,1
1/3/2022,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,,outperform,,466.67,1
1/4/2022,Apple Inc,AAPL,WEDBUSH,DANIEL IVES,OUTPERFORM,outperform,,200,1
1/4/2022,Apple Inc,AAPL,EVERCORE,AMIT DARYANANI,,outperform,,200,1
1/4/2022,Amazon.com Inc,AMZN,WOLFE,DEEPAK MATHIVANAN,                             ,outperform,190,205,1
1/4/2022,Tesla Inc,TSLA,MIZUHO,VIJAY RAKESH,                             ,buy,316.67,433.33,1
1/4/2022,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,,overweight,,400,1
1/5/2022,Intel Corp,INTC,,IVAN FEINSETH,Buy                          ,buy,72,72,1
1/5/2022,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,buy,,37,1
1/6/2022,Meta Platforms Inc,META,UBS,LLOYD WALMSLEY,BUY,buy,425,440,1
1/6/2022,Microsoft Corp,MSFT,JEFFERIES,BRENT THILL,                             ,buy,375,400,1
