date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after
12/1/2021,Apple Inc,AAPL,UBS,DAVID VOGT,BUY,BUY,,175
12/2/2021,Amazon.com Inc,AMZN,,LLOYD WALMSLEY,Buy                          ,Buy                          ,4700,4700
12/2/2021,Amazon.com Inc,AMZN,,MICHAEL LASSER,Buy                          ,Buy                          ,4700,4700
12/6/2021,Apple Inc,AAPL,KEYBANK,BRANDON NISPEL,BUY,BUY,,191
12/6/2021,Meta Platforms Inc,META,HSBC,NICOLAS COTE-COLISSON,HOLD,REDUCE,,300
12/7/2021,Tesla Inc,TSLA,UBS,PATRICK HUMMEL,NEUTRAL,NEUTRAL,241.67,333.33
12/10/2021,Apple Inc,AAPL,KEYBANK,BRANDON NISPEL,Overweight                   ,Overweight                   ,200,200
12/14/2021,Apple Inc,AAPL,BAML,WAMSI MOHAN,BUY,NEUTRAL,160,210
12/15/2021,Apple Inc,AAPL,EVERCORE,AMIT DARYANANI,Outperform                   ,Outperform                   ,200,200
12/21/2021,Nvidia Corp,NVDA,UBS,TIMOTHY ARCURI,HOLD,HOLD,,34.65
12/27/2021,Tesla Inc,TSLA,GLOBAL EQUITIES,TRIP CHOWDHRY,NOT FOUND,NOT FOUND,,                  
12/30/2021,Tesla Inc,TSLA,CITI,ITAY MICHAELI,SELL,SELL,79,87
12/31/2021,Tesla Inc,TSLA,,EMMANUEL ROSNER,Buy                          ,Buy                          ,400,400
12/31/2021,Tesla Inc,TSLA,ARGUS,BILL SELESKY,Buy                          ,Buy                          ,437.67,437.67
1/4/2022,Apple Inc,AAPL,WEDBUSH,DANIEL IVES,OUTPERFORM,OUTPERFORM,,200
1/5/2022,Intel Corp,INTC,,IVAN FEINSETH,Buy                          ,Buy                          ,72,72
1/5/2022,Intel Corp,INTC,NORTHLAND CAPITAL MARKETS,GUS RICHARD,OUTPERFORM,MARKET PERFORM,,62
1/6/2022,Meta Platforms Inc,META,UBS,LLOYD WALMSLEY,BUY,BUY,425,440
1/6/2022,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,BUY,BUY,38.9,35
1/10/2022,Amazon.com Inc,AMZN,BAML,JUSTIN POST,BUY,UNDERPERFORM,,222.5
1/11/2022,Intel Corp,INTC,KEYBANK,JOHN VINH,Overweight,Sector Weight,,
1/13/2022,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,Underweight                  ,Underweight                  ,50,50
1/13/2022,Microsoft Corp,MSFT,BMO,KEITH BACHMAN,Outperform                   ,Outperform                   ,360,360
1/18/2022,Amazon.com Inc,AMZN,BAML,DOUG ANMUTH,OVERWEIGHT,OVERWEIGHT,,                  
1/20/2022,Meta Platforms Inc,META,MORGAN STANLEY,BRIAN NOWAK,Overweight                   ,Overweight                   ,395,395
1/25/2022,Tesla Inc,TSLA,GLJ,GORDON JOHNSON,SELL,SELL,,                  
1/27/2022,Tesla Inc,TSLA,JEFFERIES,PHILIPPE HOUCHOIS,NOT FOUND,NOT FOUND,,                  
1/27/2022,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,OVERWEIGHT,OVERWEIGHT,,433.33
1/28/2022,Apple Inc,AAPL,JPMORGAN,SAMIK CHATTERJEE,OVERWEIGHT,TOP PICK,,210
1/28/2022,Apple Inc,AAPL,RAYMOND JAMES,CHRIS CASO,OUTPERFORM,OUTPERFORM,185,190
1/28/2022,Tesla Inc,TSLA,CANACCORD,JED DORSHEIMER,BUY,BUY,346.67,400
1/31/2022,Meta Platforms Inc,META,MORGAN STANLEY,BRIAN NOWAK,OVERWEIGHT,OVERWEIGHT,,                  
2/1/2022,Meta Platforms Inc,META,,MARK KELLEY,Buy                          ,Buy                          ,400,400
2/2/2022,Alphabet Cl A,GOOGL,,DOUG ANMUTH,Overweight                   ,Overweight                   ,3400 » 3600     ,3400 » 3600
2/2/2022,Alphabet Cl A,GOOGL,GOLDMAN SACHS,ERIC SHERIDAN,Buy                          ,Buy                          ,3350 » 3400     ,3350 » 3400
2/2/2022,Alphabet Cl A,GOOGL,SUSQUEHANNA,SHYAM PATIL,Positive                     ,Positive                     ,3600 » 3750     ,3600 » 3750
2/2/2022,Alphabet Cl A,GOOGL,PIPER SANDLER,THOMAS CHAMPION,Overweight                   ,Overweight                   ,173.75,173.75
2/2/2022,Alphabet Cl A,GOOGL,,MARK KELLEY,Buy                          ,Buy                          ,3350 » 3400     ,3350 » 3400
2/2/2022,Alphabet Cl A,GOOGL,WEDBUSH,MICHAEL PACHTER,OUTPERFORM,IN LINE,176.5,190
2/2/2022,Alphabet Cl A,GOOGL,,JUSTIN PATTERSON,Overweight                   ,Overweight                   ,170,170
2/3/2022,Meta Platforms Inc,META,LOOP CAPITAL,ALAN GOULD,HOLD,BUY,380,230
2/3/2022,Meta Platforms Inc,META,JEFFERIES,BRENT THILL,BUY,NEGATIVE,420,350
2/3/2022,Meta Platforms Inc,META,WEDBUSH,YGAL AROUNIAN,NEUTRAL,IN LINE,325,270
2/3/2022,Meta Platforms Inc,META,TRUIST,YOUSSEF SQUALI,BUY,BUY,400,350
2/3/2022,Meta Platforms Inc,META,JMP,RONALD JOSEY,OUTPERFORM,OUTPERFORM,400,350
2/3/2022,Meta Platforms Inc,META,JPMORGAN,DOUG ANMUTH,NEUTRAL,OVERWEIGHT,385,284
2/3/2022,Meta Platforms Inc,META,CREDIT SUISSE,STEPHEN JU,OUTPERFORM,OUTPERFORM,430,336
2/3/2022,Meta Platforms Inc,META,RAYMOND JAMES,AARON KESSLER,STRONG BUY,OUTPERFORM,410,340
2/3/2022,Meta Platforms Inc,META,UBS,LLOYD WALMSLEY,BUY,BUY,400,280
2/3/2022,Meta Platforms Inc,META,GOLDMAN SACHS,ERIC SHERIDAN,BUY,BUY,445,355
2/4/2022,Amazon.com Inc,AMZN,,GREG BADISHKANIAN,Outperform                   ,Outperform                   ,3950,3950
2/4/2022,Amazon.com Inc,AMZN,,MICHAEL LASSER,Buy                          ,Buy                          ,4100,4100
2/4/2022,Amazon.com Inc,AMZN,GOLDMAN SACHS,ERIC SHERIDAN,BUY,BUY,205,210
2/4/2022,Amazon.com Inc,AMZN,RAYMOND JAMES,AARON KESSLER,OUTPERFORM,OUTPERFORM,192,197.5
2/4/2022,Amazon.com Inc,AMZN,WOLFE,DEEPAK MATHIVANAN,Outperform                   ,Outperform                   ,3950,3950
2/4/2022,Amazon.com Inc,AMZN,EVERCORE,MARK MAHANEY,OUTPERFORM,IN LINE,,215
2/4/2022,Amazon.com Inc,AMZN,JMP,RONALD JOSEY,OUTPERFORM,IN LINE,,200
2/4/2022,Amazon.com Inc,AMZN,TELSEY ADVISORY,JOSEPH FELDMAN,OUTPERFORM,OUTPERFORM,,192.5
2/4/2022,Amazon.com Inc,AMZN,JPMORGAN,DOUG ANMUTH,OVERWEIGHT,OVERWEIGHT,217.5,225
2/4/2022,Meta Platforms Inc,META,,MARK ZGUTOWICZ,Buy                          ,Buy                          ,300,300
