date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after
12/2/2019,Intel Corp,INTC,SUSQUEHANNA,CHRISTOPHER ROLLAND,Buy                          ,Buy                          ,,
12/3/2019,Alphabet Cl A,GOOGL,CITI,JASON BAZINET,                             ,BUY                          ,72.5,75
12/3/2019,Meta Platforms Inc,META,CITI,JASON BAZINET,BUY,BUY,,240
12/4/2019,Apple Inc,AAPL,MAXIM GROUP,NEHAL CHOKSHI,SELL,NEGATIVE,,47.5
12/4/2019,Meta Platforms Inc,META,HSBC,NICOLAS COTE-COLISSON,,REDUCE                       ,,178
12/4/2019,Tesla Inc,TSLA,CITI,ITAY MICHAELI,                             ,SELL                         ,12.73,14.8
12/5/2019,Alphabet Cl A,GOOGL,STIFEL,SCOTT DEVITT,BUY,HOLD,66.25,76.25
12/5/2019,Intel Corp,INTC,MIZUHO,VIJAY RAKESH,BUY,BUY,,                  
12/5/2019,Microsoft Corp,MSFT,BERNSTEIN,MARK MOERDLER,                             ,OUTPERFORM                   ,167,174
12/10/2019,Tesla Inc,TSLA,BAIRD,BEN KALLO,,OUTPERFORM                   ,,23.67
12/10/2019,Tesla Inc,TSLA,BNP,STUART PEARSON,                             ,BUY                          ,20,26.67
12/12/2019,Apple Inc,AAPL,WEDBUSH,DANIEL IVES,OUTPERFORM,POSITIVE,,81.25
12/13/2019,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,                             ,BUY                          ,6,6.82
12/17/2019,Apple Inc,AAPL,TD COWEN,KRISH SANKAR,                             ,OUTPERFORM                   ,72.5,81.25
12/17/2019,Microsoft Corp,MSFT,JEFFERIES,BRENT THILL,Buy                          ,Buy                          ,,
12/17/2019,Microsoft Corp,MSFT,DEUTSCHE BANK,KARL KEIRSTEAD,                             ,BUY                          ,160,175
12/17/2019,Microsoft Corp,MSFT,WEDBUSH,DANIEL IVES,Outperform                   ,Outperform                   ,185,185
12/17/2019,Nvidia Corp,NVDA,PIPER SANDLER,HARSH KUMAR,                             ,OVERWEIGHT                   ,5.75,6.25
12/18/2019,Intel Corp,INTC,MORGAN STANLEY,JOSEPH MOORE,Overweight                   ,Overweight                   ,66,66
12/18/2019,Meta Platforms Inc,META,DEUTSCHE BANK,LLOYD WALMSLEY,BUY,BUY,260,270
12/19/2019,Alphabet Cl A,GOOGL,BAIRD,COLIN SEBASTIAN,OUTPERFORM,OUTPERFORM,,70
12/20/2019,Nvidia Corp,NVDA,EDWARD JONES,LOGAN PURK,,HOLD                         ,,                  
12/20/2019,Nvidia Corp,NVDA,BENCHMARK,GARY MOBLEY,Overweight                   ,Overweight                   ,240 » 270       ,240 » 270
12/23/2019,Apple Inc,AAPL,WEDBUSH,DANIEL IVES,,OUTPERFORM                   ,,87.5
12/26/2019,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,                             ,NEUTRAL                      ,18,24.67
12/30/2019,Meta Platforms Inc,META,TIGRESS PARTNERS,IVAN FEINSETH,STRONGBUY,STRONGBUY,,                  
12/30/2019,Tesla Inc,TSLA,TD COWEN,JEFFREY OSBORNE,,UNDERPERFORM                 ,,14
12/31/2019,Amazon.com Inc,AMZN,ARGUS,JIM KELLEHER,,BUY                          ,,112.5
12/31/2019,Nvidia Corp,NVDA,BENCHMARK,GARY MOBLEY,BUY,BUY,6,6.87
1/2/2020,Tesla Inc,TSLA,CANACCORD,JED DORSHEIMER,                             ,BUY                          ,25,34.33
1/3/2020,Apple Inc,AAPL,BAML,WAMSI MOHAN,                             ,BUY                          ,72.5,82.5
1/3/2020,Tesla Inc,TSLA,BAIRD,BEN KALLO,,OUTPERFORM                   ,,23.67
1/3/2020,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,,NEUTRAL                      ,,24.67
1/6/2020,Apple Inc,AAPL,NEEDHAM,LAURA MARTIN,BUY,STRONG BUY,,87.5
1/6/2020,Apple Inc,AAPL,WEDBUSH,DANIEL IVES,,OUTPERFORM                   ,,87.5
1/6/2020,Alphabet Cl A,GOOGL,LOOP CAPITAL,ALAN GOULD,HOLD,HOLD,,72.5
1/6/2020,Tesla Inc,TSLA,RBC,JOSEPH SPAK,UNDERPERFORM,UNDERPERFORM,,21
1/7/2020,Amazon.com Inc,AMZN,ROTH MKM,ROHIT KULKARNI,BUY,BUY,,112.5
1/7/2020,Nvidia Corp,NVDA,CITI,ATIF MALIK,,BUY                          ,,6.12
1/7/2020,Tesla Inc,TSLA,CREDIT SUISSE,DAN LEVY,                             ,UNDERPERFORM                 ,13.33,22.67
1/7/2020,Tesla Inc,TSLA,ARGUS,BILL SELESKY,                             ,BUY                          ,26.4,37.07
1/8/2020,Microsoft Corp,MSFT,MORGAN STANLEY,KEITH WEISS,OVERWEIGHT,OVERWEIGHT,157,189
1/9/2020,Amazon.com Inc,AMZN,TD COWEN,JOHN BLACKLEDGE,,OUTPERFORM                   ,,120
1/9/2020,Amazon.com Inc,AMZN,BERNSTEIN,MARK SHMULIK,,MARKET PERFORM               ,,102.5
1/9/2020,Meta Platforms Inc,META,BERNSTEIN,MARK SHMULIK,,OUTPERFORM                   ,,250
1/9/2020,Meta Platforms Inc,META,TD COWEN,JOHN BLACKLEDGE,OUTPERFORM,OUTPERFORM,240,245
1/9/2020,Microsoft Corp,MSFT,WEDBUSH,DANIEL IVES,                             ,OUTPERFORM                   ,185,195
1/9/2020,Microsoft Corp,MSFT,JEFFERIES,BRENT THILL,                             ,BUY                          ,160,185
1/9/2020,Tesla Inc,TSLA,BAIRD,BEN KALLO,OUTPERFORM,NEUTRAL,35,23.67
1/9/2020,Tesla Inc,TSLA,CFRA,GARRETT NELSON,HOLD,SELL,,26.67
1/10/2020,Apple Inc,AAPL,ARGUS,JIM KELLEHER,                             ,BUY                          ,75,87.5
1/10/2020,Amazon.com Inc,AMZN,UBS,ERIC SHERIDAN,Market Perform               ,Market Perform               ,,
1/10/2020,Alphabet Cl A,GOOGL,BERNSTEIN,MARK SHMULIK,OUTPERFORM,POSITIVE,,80
1/10/2020,Microsoft Corp,MSFT,STIFEL,BRAD REBACK,Buy                          ,Buy                          ,,
1/10/2020,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,OVERWEIGHT,OVERWEIGHT,28.2,36.87
1/10/2020,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,NEUTRAL,NEUTRAL,,                  
1/13/2020,Apple Inc,AAPL,D.A. DAVIDSON,TOM FORTE,BUY,BUY,,93.75
1/13/2020,Apple Inc,AAPL,JPMORGAN,SAMIK CHATTERJEE,,OVERWEIGHT                   ,,74
1/13/2020,Alphabet Cl A,GOOGL,EVERCORE,BENJAMIN BLACK,OUTPERFORM,POSITIVE,,80
1/13/2020,Alphabet Cl A,GOOGL,EVERCORE,KEVIN RIPPEY,Outperform                   ,Outperform                   ,1600,1600
1/13/2020,Meta Platforms Inc,META,EVERCORE,BENJAMIN BLACK,,OUTPERFORM                   ,,280
1/13/2020,Microsoft Corp,MSFT,,MICHAEL NEMEROFF,Outperform                   ,Outperform                   ,180,180
1/13/2020,Nvidia Corp,NVDA,ARGUS,JIM KELLEHER,,BUY                          ,,7.5
1/13/2020,Nvidia Corp,NVDA,EVERCORE,C J MUSE,,OUTPERFORM                   ,,7.5
1/13/2020,Nvidia Corp,NVDA,CRAIG HALLUM,RICHARD SHANNON,,POSITIVE                     ,,7.5
1/13/2020,Tesla Inc,TSLA,OPPENHEIMER,COLIN RUSCH,OUTPERFORM,OUTPERFORM,,40.8
1/13/2020,Tesla Inc,TSLA,CITI,ITAY MICHAELI,,SELL                         ,,14.8
