date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after
12/5/2022,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,,OVERWEIGHT                   ,,                  
12/13/2022,Tesla Inc,TSLA,CITI,ITAY MICHAELI,,NEUTRAL                      ,,176
12/14/2022,Tesla Inc,TSLA,GOLDMAN SACHS,MARK DELANEY,                             ,BUY                          ,305,235
12/15/2022,Tesla Inc,TSLA,RBC,JOSEPH SPAK,                             ,OUTPERFORM                   ,325,225
12/16/2022,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,,OUTPERFORM                   ,,250
12/19/2022,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,,BUY                          ,,355
12/19/2022,Tesla Inc,TSLA,,COLIN RUSCH,Outperform,Perform,,
12/20/2022,Tesla Inc,TSLA,EVERCORE,CHRIS MCNALLY,                             ,IN LINE                      ,300,200
12/20/2022,Tesla Inc,TSLA,DAIWA,JAIRAM NATHAN,                             ,OUTPERFORM                   ,240,177
12/20/2022,Tesla Inc,TSLA,MIZUHO,VIJAY RAKESH,Buy                          ,Buy                          ,285,285
12/21/2022,Alphabet Cl A,GOOGL,EVERCORE,MARK MAHANEY,                             ,OUTPERFORM                   ,130,120
12/21/2022,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,,OVERWEIGHT                   ,,330
12/22/2022,Alphabet Cl A,GOOGL,NEEDHAM,LAURA MARTIN,                             ,                             ,160,115
12/22/2022,Tesla Inc,TSLA,CANACCORD,GEORGE GIANARIKAS,                             ,OUTPERFORM                   ,304,275
12/23/2022,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,                             ,OUTPERFORM                   ,250,175
12/28/2022,Tesla Inc,TSLA,BAIRD,BEN KALLO,                             ,OUTPERFORM                   ,316,252
12/28/2022,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,                             ,OVERWEIGHT                   ,330,250
12/28/2022,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,OUTPERFORM,OUTPERFORM,,175
12/29/2022,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,,OVERWEIGHT                   ,,340
1/3/2023,Tesla Inc,TSLA,TRUIST,WILLIAM STEIN,BUY,BUY,,299
1/3/2023,Tesla Inc,TSLA,GOLDMAN SACHS,MARK DELANEY,Buy                          ,Buy                          ,205,205
1/3/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,,BUY                          ,,250
1/3/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,OVERWEIGHT,BUY,,250
1/3/2023,Tesla Inc,TSLA,TD COWEN,JEFFREY OSBORNE,,MARKET PERFORM               ,,122
1/3/2023,Tesla Inc,TSLA,JPMORGAN,RYAN BRINKMAN,,UNDERWEIGHT                  ,,125
1/3/2023,Tesla Inc,TSLA,RBC,JOSEPH SPAK,OUTPERFORM,OUTPERFORM,,186
1/3/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,NEUTRAL,NEUTRAL,,176
1/4/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,,OUTPERFORM                   ,,175
1/5/2023,Tesla Inc,TSLA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,285,250
1/6/2023,Alphabet Cl A,GOOGL,TIGRESS PARTNERS,IVAN FEINSETH,                             ,STRONG BUY                   ,186,160
1/6/2023,Tesla Inc,TSLA,GLJ,GORDON JOHNSON,SHORT,SHORT,,73
1/6/2023,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,,OVERWEIGHT                   ,,                  
1/9/2023,Alphabet Cl A,GOOGL,MORGAN STANLEY,BRIAN NOWAK,,OVERWEIGHT                   ,,120
1/10/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,,OVERWEIGHT                   ,,250
1/13/2023,Alphabet Cl A,GOOGL,BAML,JUSTIN POST,,BUY                          ,,114
1/13/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,NEUTRAL,NEUTRAL,176,140
1/13/2023,Tesla Inc,TSLA,EVERCORE,CHRIS MCNALLY,,IN LINE                      ,,140
1/13/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,                             ,EQUAL WEIGHT                 ,230,130
1/13/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,,BUY                          ,,250
1/13/2023,Tesla Inc,TSLA,RBC,JOSEPH SPAK,,OUTPERFORM                   ,,186
1/17/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,,EQUAL WEIGHT                 ,,130
1/17/2023,Tesla Inc,TSLA,JEFFERIES,PHILIPPE HOUCHOIS,,BUY                          ,,180
1/18/2023,Alphabet Cl A,GOOGL,MORGAN STANLEY,BRIAN NOWAK,Overweight                   ,Overweight                   ,125,125
1/18/2023,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,                             ,OVERWEIGHT                   ,340,300
1/19/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,NEUTRAL,NEUTRAL,140,137
1/19/2023,Tesla Inc,TSLA,DEUTSCHE BANK,EMMANUEL ROSNER,                             ,BUY                          ,250,220
1/19/2023,Tesla Inc,TSLA,GLJ,GORDON JOHNSON,NOT FOUND,NOT FOUND,,                  
1/20/2023,Alphabet Cl A,GOOGL,CITI,RONALD JOSEY,BUY,BUY,,120
1/20/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,,OUTPERFORM                   ,,175
1/23/2023,Tesla Inc,TSLA,TRUIST,WILLIAM STEIN,BUY,POSITIVE,,245
1/25/2023,Alphabet Cl A,GOOGL,ROTH MKM,ROHIT KULKARNI,                             ,BUY                          ,130,120
1/25/2023,Alphabet Cl A,GOOGL,CREDIT SUISSE,STEPHEN JU,                             ,OUTPERFORM                   ,128,145
1/25/2023,Tesla Inc,TSLA,MORGAN STANLEY,ADAM JONAS,Overweight                   ,Overweight                   ,220,220
1/25/2023,Tesla Inc,TSLA,JPMORGAN,RYAN BRINKMAN,                             ,UNDERWEIGHT                  ,125,120
1/26/2023,Alphabet Cl A,GOOGL,JEFFERIES,BRENT THILL,,BUY                          ,,125
1/26/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,                             ,OUTPERFORM                   ,175,200
1/26/2023,Tesla Inc,TSLA,CITI,ITAY MICHAELI,                             ,NEUTRAL                      ,137,146
1/26/2023,Tesla Inc,TSLA,TD COWEN,JEFFREY OSBORNE,                             ,MARKET PERFORM               ,122,140
1/26/2023,Tesla Inc,TSLA,MIZUHO,VIJAY RAKESH,BUY,BUY,,250
1/26/2023,Tesla Inc,TSLA,WELLS FARGO,COLIN LANGAN,                             ,EQUAL WEIGHT                 ,130,150
1/26/2023,Tesla Inc,TSLA,PIPER SANDLER,ALEXANDER POTTER,OVERWEIGHT,OVERWEIGHT,,300
1/30/2023,Alphabet Cl A,GOOGL,KEYBANK,JUSTIN PATTERSON,Overweight                   ,Overweight                   ,117,117
1/31/2023,Alphabet Cl A,GOOGL,BAML,JUSTIN POST,                             ,BUY                          ,116,119
2/3/2023,Alphabet Cl A,GOOGL,TRUIST,YOUSSEF SQUALI,                             ,BUY                          ,130,120
2/3/2023,Alphabet Cl A,GOOGL,PIPER SANDLER,THOMAS CHAMPION,                             ,OVERWEIGHT                   ,122,120
2/3/2023,Alphabet Cl A,GOOGL,ROTH MKM,ROHIT KULKARNI,                             ,BUY                          ,120,126
2/3/2023,Alphabet Cl A,GOOGL,JMP,ANDREW BOONE,Market Outperform            ,Market Outperform            ,132,132
2/3/2023,Alphabet Cl A,GOOGL,BARCLAYS,ROSS SANDLER,                             ,OVERWEIGHT                   ,150,160
2/3/2023,Alphabet Cl A,GOOGL,ROSENBLATT,BARTON CROCKETT,Buy                          ,Buy                          ,128,128
2/3/2023,Alphabet Cl A,GOOGL,NEEDHAM,LAURA MARTIN,Buy                          ,Buy                          ,115,115
2/3/2023,Alphabet Cl A,GOOGL,MORGAN STANLEY,BRIAN NOWAK,                             ,OVERWEIGHT                   ,125,135
2/3/2023,Alphabet Cl A,GOOGL,CREDIT SUISSE,STEPHEN JU,                             ,OUTPERFORM                   ,145,136
2/7/2023,Tesla Inc,TSLA,WEDBUSH,DANIEL IVES,                             ,OUTPERFORM                   ,200,225
2/8/2023,Alphabet Cl A,GOOGL,LOOP CAPITAL,ROB SANDERSON,                             ,BUY                          ,120,125
2/8/2023,Alphabet Cl A,GOOGL,EVERCORE,MARK MAHANEY,,OUTPERFORM                   ,,125
2/8/2023,Alphabet Cl A,GOOGL,ATLANTIC EQUITIES,JAMES CORDWELL,,OVERWEIGHT                   ,,115
2/9/2023,Alphabet Cl A,GOOGL,MORGAN STANLEY,BRIAN NOWAK,NOT FOUND,NOT FOUND,,                  
